time,open,high,low,close,volume,complete,sma_short,sma_long,signal
2021-03-30,110.367,110.966,110.275,110.697,76076,True,109.419,108.43773076923077,1
2021-03-31,110.723,110.849,110.546,110.617,56811,True,109.61155555555555,108.61973076923076,1
2021-04-01,110.609,110.752,110.374,110.675,38785,True,109.8148888888889,108.7913076923077,1
2021-04-04,110.658,110.751,109.961,110.177,47252,True,109.9918888888889,108.93011538461539,1
2021-04-05,110.19,110.553,109.668,109.752,68123,True,110.10455555555556,109.04511538461537,1
2021-04-06,109.765,109.942,109.578,109.855,68228,True,110.17888888888889,109.16696153846154,1
2021-04-07,109.846,109.904,108.999,109.261,58045,True,110.13211111111112,109.2533846153846,1
2021-04-08,109.252,109.962,109.213,109.672,57040,True,110.11844444444444,109.3183846153846,1
2021-04-11,109.714,109.793,109.246,109.374,50555,True,110.00888888888889,109.3581923076923,1
2021-04-12,109.382,109.753,109.019,109.061,68419,True,109.82711111111112,109.36442307692307,1
2021-04-13,109.068,109.096,108.752,108.917,55794,True,109.63822222222221,109.38092307692308,1
2021-04-14,108.951,108.974,108.612,108.764,52943,True,109.42588888888889,109.39565384615383,1
2021-04-15,108.754,108.966,108.612,108.802,45738,True,109.2731111111111,109.40684615384615,-1
2021-04-18,108.786,108.836,108.008,108.166,67437,True,109.0968888888889,109.37384615384616,-1
2021-04-19,108.153,108.55,107.972,108.113,60616,True,108.90333333333334,109.33476923076924,-1
2021-04-20,108.128,108.284,107.875,108.078,51177,True,108.77188888888888,109.29930769230769,-1
2021-04-21,108.061,108.232,107.814,107.98,58932,True,108.5838888888889,109.26619230769231,-1
2021-04-22,107.984,108.147,107.478,107.866,60408,True,108.41633333333334,109.22696153846154,-1
2021-04-25,107.939,108.198,107.644,108.08,62541,True,108.30733333333333,109.19603846153845,-1
2021-04-26,108.085,108.775,108.08,108.702,56842,True,108.28344444444444,109.19053846153847,-1
2021-04-27,108.673,109.08,108.572,108.578,72280,True,108.26277777777779,109.19030769230768,-1
2021-04-28,108.574,109.23,108.434,108.929,61493,True,108.27688888888889,109.19765384615386,-1
2021-04-29,108.926,109.378,108.714,109.3,63820,True,108.40288888888888,109.20203846153845,-1
2021-05-02,109.292,109.698,108.895,109.078,54774,True,108.51011111111112,109.17880769230769,-1
2021-05-03,109.093,109.488,109.029,109.376,77006,True,108.65433333333333,109.16269230769231,-1
2021-05-04,109.356,109.482,109.144,109.227,51132,True,108.7928888888889,109.11911538461537,-1
2021-05-05,109.213,109.429,109.001,109.086,67616,True,108.92844444444444,109.05715384615385,-1
2021-05-06,109.091,109.29,108.336,108.615,83297,True,108.9878888888889,108.98015384615384,1
2021-05-09,108.617,109.056,108.469,108.811,69019,True,109.0,108.90846153846154,1
2021-05-10,108.82,108.984,108.348,108.625,73540,True,109.00522222222223,108.84876923076924,1
2021-05-11,108.619,109.71,108.595,109.706,84856,True,109.09155555555554,108.84700000000001,1
2021-05-12,109.652,109.787,109.406,109.474,73094,True,109.1108888888889,108.83234615384616,1
2021-05-13,109.479,109.656,109.188,109.345,56215,True,109.14055555555557,108.83557692307694,1
2021-05-16,109.3,109.503,109.074,109.164,55794,True,109.11700000000002,108.81603846153847,1
2021-05-17,109.232,109.386,108.834,108.895,55021,True,109.08011111111111,108.79761538461538,1
2021-05-18,108.89,109.336,108.572,109.219,84261,True,109.09488888888887,108.80369230769232,1
2021-05-19,109.235,109.309,108.748,108.782,56487,True,109.11344444444445,108.7985,1
2021-05-20,108.769,109.005,108.613,108.901,52511,True,109.12344444444444,108.80376923076923,1
2021-05-23,108.927,108.996,108.696,108.763,54906,True,109.13877777777778,108.80226923076923,1
2021-05-24,108.742,109.074,108.56,108.778,71132,True,109.03566666666667,108.82580769230769,1
