sma_time,open,high,low,close,sma_short,sma_long,signal
2026-04-06 22:00:00,159.682,159.682,159.574,159.67,159.6987777777778,159.61142307692307,1
2026-04-06 23:00:00,159.67,159.71,159.655,159.696,159.69744444444444,159.61388461538462,1
2026-04-07 00:00:00,159.694,159.842,159.68,159.83,159.71099999999998,159.6196923076923,1
2026-04-07 01:00:00,159.83,159.924,159.788,159.884,159.73355555555554,159.6236923076923,1
2026-04-07 02:00:00,159.886,159.934,159.85,159.874,159.74466666666666,159.62846153846155,1
2026-04-07 03:00:00,159.874,159.886,159.822,159.834,159.76088888888887,159.63384615384615,1
2026-04-07 04:00:00,159.832,159.834,159.732,159.738,159.76533333333333,159.6408076923077,1
2026-04-07 05:00:00,159.738,159.819,159.726,159.772,159.77488888888888,159.64642307692307,1
2026-04-07 06:00:00,159.77,159.816,159.734,159.785,159.78699999999998,159.65461538461537,1
2026-04-07 07:00:00,159.784,159.882,159.778,159.864,159.80855555555556,159.66576923076926,1
2026-04-07 08:00:00,159.864,159.866,159.481,159.492,159.78588888888888,159.6611923076923,1
2026-04-07 09:00:00,159.492,159.638,159.468,159.636,159.76433333333333,159.67073076923077,1
2026-04-07 10:00:00,159.632,159.796,159.617,159.786,159.75344444444443,159.68596153846153,1
2026-04-07 11:00:00,159.784,159.867,159.768,159.83,159.74855555555555,159.7011923076923,1
2026-04-07 12:00:00,159.83,159.876,159.714,159.781,159.74266666666665,159.71346153846156,1
2026-04-07 13:00:00,159.78,159.895,159.724,159.89,159.75955555555552,159.72623076923077,1
2026-04-07 14:00:00,159.89,159.964,159.778,159.956,159.78,159.74723076923075,1
2026-04-07 15:00:00,159.956,160.032,159.868,159.898,159.79255555555557,159.76288461538462,1
2026-04-07 16:00:00,159.9,159.912,159.797,159.908,159.79744444444447,159.77057692307693,1
2026-04-07 17:00:00,159.908,159.957,159.706,159.782,159.82966666666667,159.77342307692305,1
2026-04-07 18:00:00,159.784,159.868,159.7,159.844,159.8527777777778,159.7796923076923,1
2026-04-07 19:00:00,159.844,159.868,159.544,159.586,159.83055555555558,159.77246153846153,1
2026-04-07 20:00:00,159.585,159.696,159.504,159.61,159.8061111111111,159.7694615384615,1
2026-04-07 21:00:00,159.614,159.627,159.542,159.586,159.78444444444443,159.76515384615385,1
2026-04-07 22:00:00,159.581,159.78,158.85,158.926,159.67733333333334,159.7359230769231,-1
2026-04-07 23:00:00,158.926,158.97,158.601,158.72,159.54,159.69915384615385,-1
2026-04-08 00:00:00,158.722,158.792,158.546,158.694,159.40622222222223,159.66161538461535,-1
